candidate_keyword,search_intent,relevance,competition_observed,title_candidate,subtitle_candidate,keyword_field_candidate,screenshot_copy_candidate,competitor_usage,evidence,confidence
"only signature","Brand/narrow utility","High","No exact U.S. App Store result surfaced in the live search; web/common-law risk remains","Only Signature","No","No; title already supplies both words","No","No exact app-name match surfaced; many titles use Signature","Live U.S. App Store search and exact-name web search, 2026-08-25","Medium; absence from sampled results is not clearance"
"signature","Broad signature creation or signing","High","Very high; used throughout titles/subtitles","Only Signature","No; already in title","No; avoid title duplication","Your Signature and Initials","Nearly universal in the 20-app matrix","Live U.S. App Store results across signature searches, 2026-08-25","High"
"transparent signature","Signature image without an opaque box","Very high","Medium; several listings mention transparency but few lead with it","No","Transparent PNG & Initials","Yes: transparent is already in subtitle; do not duplicate there after lock","Remove the White Box","Digitize Signature, SignIt, SigLume, and scanner apps mention transparent/background removal","Live listing descriptions and screenshots, 2026-08-25","High relevance; public search volume unavailable"
"signature PNG","Reusable raster signature asset","Very high","Medium","No","Transparent PNG & Initials","No if PNG is in subtitle; otherwise yes","Export a Transparent PNG","Digitize Signature and SignIt explicitly list PNG","Live listing descriptions, 2026-08-25","High relevance; volume unknown"
"transparent PNG","Alpha-preserving image output","Very high","Medium","No","Transparent PNG & Initials","No if in subtitle","Transparent, No White Box","Multiple competitors list transparent PNG but document apps rarely make it the first message","Live listing descriptions and first-three screenshots, 2026-08-25","High relevance; volume unknown"
"signature image","Create an image asset rather than sign a document","Very high","Medium","No","No","Yes","Your Signature, Ready to Place","Less prominent than sign-PDF language","Observed title/subtitle/description language in matrix, 2026-08-25","High relevance; volume unknown"
"handwritten signature","Draw authentic handwriting","Very high","Medium-high","No","No","Yes: handwritten","Draw Your Real Signature","Draw/scan apps use handwritten/draw language; AI apps compete on generated styles","Live listing descriptions, 2026-08-25","High"
"draw signature","Direct finger/stylus capture","Very high","High","No","No","Yes: draw","Draw It Once. Re-export This Set.","Signature generator & maker, Sign AI, Creator & Scanner, SignIt, and others use draw","Live listing titles/subtitles/descriptions, 2026-08-25","High"
"signature maker","Broad creator intent","High","Very high; heavily repeated in competitor titles","No","No","Yes: maker if byte budget permits","Make a Clean Signature Asset","At least nine matrix titles/subtitles use maker","Live U.S. App Store results, 2026-08-25","High competition observation; volume unknown"
"signature generator","Often typed/AI/template generation","Medium","High","No","No","Optional; test carefully because product does not generate handwriting","No","SignIt, Signature AI, eSign AI, and Signify use generator/AI","Live U.S. App Store results, 2026-08-25","High observed competition; medium intent fit"
"signature creator","Broad asset creation","High","High","No","No","Yes: creator","Create Signature + Initials","Creator & Scanner and Creator - Sign PDF use the phrase","Live U.S. App Store results, 2026-08-25","High"
"initials maker","Create a matching initials asset","Very high","Low-medium among direct results","No","Transparent PNG & Initials","Yes only if initials is not in subtitle","Signature and Initials, Together","Initials is rarely prominent in the first-three competitor messages","Matrix screenshot/listing audit, 2026-08-25","Medium-high differentiation; volume unknown"
"signature initials","Create both reusable marks","Very high","Low-medium","No","Transparent PNG & Initials","No if initials is in subtitle; otherwise initials","One Purchase Includes Both Slots","Few competitors foreground the bundled pair","Matrix first-three screenshot audit, 2026-08-25","Medium-high differentiation; volume unknown"
"white background signature","Free opaque export or problem awareness","High","Low-medium as exact phrasing","No","No","Yes: white,background as separate tokens","No White Box","Competitors use background removal more often than white background","Live listings and review evidence, 2026-08-25","Medium; volume unknown"
"remove white box","Solve the visible rectangle around a signature","Very high","Low as exact metadata phrase; common problem framing","No","No","Yes: remove,box if space permits","Remove the White Box","SigLume says remove the background; review evidence reports poor removal","Live listing/review evidence, 2026-08-25","High value-message fit; volume unknown"
"remove signature background","Scan/remove background from an existing signature","Medium-high","High among scanner apps","No","No","Yes only if product-page copy clearly says the app draws rather than scans","No Editing or Cropping","SigLume, Signature Creator & Scanner, Scan&Sign PDF, and eSign Digital promote removal","Live listings, 2026-08-25","High observed competition; product intent is adjacent"
"autograph maker","Casual handwritten mark creation","Medium","Medium","No","No","Yes: autograph if byte budget permits","No","SignIt uses Autograph in subtitle; AI style apps use adjacent language","Live listings, 2026-08-25","Medium"
"digital signature","Frequently means cryptographic identity, e-signing, or generic mark","Low-medium","Very high","No","No","Exclude from priority field unless validated; legal-intent mismatch","No","Many competitors use digital signature while functioning as image/PDF tools","Live listings plus legal-claim boundary in the product contract, 2026-08-25","High mismatch risk"
"electronic signature","Sign or attest to a document","Low","Very high","No","No","Exclude","No","Document-signing competitors use electronic/e-signature heavily","Live titles/subtitles, 2026-08-25","High mismatch risk"
"sign PDF","Place marks into PDF documents","Out of scope","Very high","No","No","Exclude","No","Dominant subtitle/first-three strategy among document suites","Live U.S. App Store results, 2026-08-25","High"
"sign documents","Document signing workflow","Out of scope","Very high","No","No","Exclude","Place It on Any Document only as downstream user benefit","Widely used by Signature-App, eSign apps, SignHub, and others","Live U.S. App Store results, 2026-08-25","High"
"scan signature","Capture an existing ink signature with camera","Out of scope for v1","High","No","No","Exclude","No Document Upload","Multiple scanner competitors use scan as a primary message","Live listings/screenshots, 2026-08-25","High"
"signature scanner","Camera/document acquisition","Out of scope for v1","High","No","No","Exclude","No Scan. Draw on Device.","SigLume and multiple maker/scanner apps use scanner","Live listings, 2026-08-25","High"
"offline signature","No developer-controlled upload/network","High","Low-medium","No","No","Yes: offline only after production network verification","Created on Your Device","Signature Maker: Sign & Scan uses Offline workflow","Live screenshot evidence plus locked network architecture, 2026-08-25","Medium; claim depends on final audit"
"no subscription signature","One-time per-set purchase intent","High","Low as metadata phrase; subscription offers are common","No","No","Optional: subscription is usually better screenshot copy","No Login. No Subscription.","Most close competitors list weekly/monthly/yearly subscriptions; review complaints mention them","Live IAP listings and Apple review feeds, 2026-08-25","High differentiation; volume unknown"
