research_date,app_name,developer,app_store_url,category,subtitle,rating_score,rating_count,listed_price,listed_in_app_purchases,subscription_presence,transparent_export_support,document_upload_requirement,account_requirement,privacy_label_summary,last_update,screenshot_messages,first_three_screenshot_strategy,prominent_review_complaints,prominent_review_praise,direct_relevance_to_only_signature,differentiation_opportunity,evidence_notes
"2026-08-25","Digitize Signature","Virtusmart llc","https://apps.apple.com/us/app/digitize-signature/id1477487648","Business","Signature Capture","4.14286","7","$0.99","None surfaced","No subscription surfaced","Yes; listing states transparent PNG","No document is needed","Not stated","Data Not Collected","2021-06-12","App title; drawing canvas; Reset","Shows the capture tool immediately; only two screenshots surfaced","A four-review feed sample included a request for faster save/reset","Simple no-frills capture; useful output formats","Very high: reusable signature-image creator","Add initials, clearer white-versus-transparent proof, repeatable per-set purchase, and modern accessibility","Live US listing and iTunes lookup; Apple customer-reviews RSS pages 1-3 accessed 2026-08-25. Ratings are a demand proxy only."
"2026-08-25","Signature generator & maker","Merbin Joe","https://apps.apple.com/us/app/signature-generator-maker/id6446936588","Business","Make or draw your signature","4.36","25","Free","None surfaced","No subscription surfaced","Yes; listing states transparent PNG export","No document is needed for signature creation","Not stated","Data Not Linked to You","2026-08-21","Signature; other screenshot text was not reliably readable","Leads with the created signature and creation practice","Seven-review feed sample: practice flow requires back-and-forth; one report said export links failed","Good result; one reviewer praised the lack of subscription nagging","Very high: draw/make/export signature asset","Make export destinations reliable, use one obvious flow, include initials, and explain the one-set purchase before payment","Live US listing and iTunes lookup; Apple customer-reviews RSS pages 1-3 accessed 2026-08-25. Review claims are paraphrased, not prevalence estimates."
"2026-08-25","Signature Maker - Sign AI","Amina Sehar","https://apps.apple.com/us/app/signature-maker-sign-ai/id6763584180","Productivity","Scan, Draw -Text To Signature","","0","Free","Yearly $29.99; Monthly $7.99","Yes","Yes; listing markets transparent-background export","Document signing is promoted; a document is not needed to create an asset","Not stated","Data Not Collected","2026-05-12","PDF Sign And Stamp; Scan Signature; Sign Any Document","Document signing first, then scan and document placement","No public review sample surfaced","No public review sample surfaced","High: drawing/scanning/background removal overlaps; AI and document signing are outside scope","Lead with no document upload, actual handwriting, no subscription, and transparent export rather than AI","Live US listing and iTunes lookup accessed 2026-08-25; zero ratings means no rating score displayed, not zero satisfaction."
"2026-08-25","Signature Creator & Scanner","冲 洪","https://apps.apple.com/us/app/signature-creator-scanner/id6775124451","Utilities","Sign PDF & Scan Documents","","0","Free","Weekly $2.99; Annual $59.99","Yes","Yes; listing promotes transparent PNG/background removal","Document signing/import is a core promoted flow","Not stated","Data Not Collected","2026-06-17","Create Signatures in Seconds; Scan Handwritten Signatures; Draw Your Own Signature","Explains three acquisition methods before document use","No public review sample surfaced","No public review sample surfaced","High: draw, scan, transparent export","Differentiate with no scan/upload, no subscription, one-set fairness, and initials included","Live US listing and iTunes lookup accessed 2026-08-25."
"2026-08-25","Signature Maker: Scan&Sign PDF","Aleksandr Maistruk","https://apps.apple.com/us/app/signature-maker-scan-sign-pdf/id6754448228","Productivity","Doc scanner, photo converter","","0","Free","Annual $29.99; Weekly $7.99","Yes","Yes; listing describes background removal/transparent results","PDF/document scanning is a core flow","Not stated","Data Not Collected","2025-11-05","Scan PDF & convert; Create signature; Sign documents","Starts with scanner, then signature, then document signing","No public review sample surfaced","No public review sample surfaced","High feature overlap but product positioning is document/scanner-first","Own the narrow signature-asset category and avoid scanner/PDF complexity","Live US listing and iTunes lookup accessed 2026-08-25."
"2026-08-25","SigLume: Signature Scanner","Alessandro Penna","https://apps.apple.com/us/app/siglume-signature-scanner/id6784931753","Productivity","Sign PDF Documents","","0","Free","Weekly $2.99; Annual $9.99","Yes","Yes; listing and screenshots say background removal/transparent export","PDF import is a promoted flow; scanner is used to acquire a signature","Listing says no account","Data Not Linked to You","2026-07-13","Sign PDFs in just a few taps; From paper to a digitized signature; Remove the background in seconds","Problem/solution sequence: document, capture, removal","No public review sample surfaced","No public review sample surfaced","Very high: background removal and signature asset overlap","Avoid camera and document permissions entirely; emphasize draw-on-device, initials, and no recurring fee","Live US listing and iTunes lookup accessed 2026-08-25."
"2026-08-25","Signature Generator - SignIt","Silpho LLC","https://apps.apple.com/us/app/signature-generator-signit/id6768051475","Productivity","Autograph & Digital Signature","","0","Free","Annual $49.99; Business $39.99; Monthly $19.99; Weekly $7.99","Yes","Yes; listing states transparent PNG/SVG","No document is needed to create/export an asset; import is optional","Not stated","Data Not Collected","2026-07-01","AI Signature Generator; second message unreadable; Draw, Scan, or Import","AI promise first, acquisition methods third","No public review sample surfaced","No public review sample surfaced","Very high export overlap; AI/template behavior is outside Only Signature scope","Emphasize the user’s real strokes, no AI substitution, no subscription, and exact per-set scope","Live US listing and iTunes lookup accessed 2026-08-25."
"2026-08-25","Signature AI","DUMITRU BUMBU","https://apps.apple.com/us/app/signature-ai/id6780077495","Productivity","Create signatures in seconds","","0","Free","1 signature $3.99; 3 signatures $7.99; 5 signatures $9.99; polish $9.99","No subscription surfaced; consumable packs surfaced","Yes; listing states transparent PNG/SVG","No document required for signature generation","Listing states no login","Data Linked to You and Data Not Linked to You","2026-06-23","Create Signature Hand Sign; 10 Free Templates; Your Name templates","Template quantity and AI-generated style first","No public review sample surfaced","No public review sample surfaced","High search-intent overlap but AI-generated signatures violate Only Signature scope","Use authentic handwriting, clear local processing, and a simpler one-set purchase instead of AI credits","Live US listing and iTunes lookup accessed 2026-08-25; privacy-label summary is Apple’s displayed category, not an independent audit."
"2026-08-25","Signature Maker: Sign & Scan","Gwyn Play Private Limited","https://apps.apple.com/us/app/signature-maker-sign-scan/id6759557084","Utilities","Scan, Draw & Sign Documents","","0","Free","Premium items $19.99; $4.99; $1.99","IAP cadence not established from public listing","Not established in public listing; PNG/JPG export is stated","Document signing/scanning is promoted; asset creation also exists","Not stated","Data Linked to You","2026-03-27","Create signatures fast / Offline workflow / Quick export; Draw naturally; 120+ signature styles","Speed/offline first, natural draw second, template volume third","No public review sample surfaced","No public review sample surfaced","High: draw/export and offline claims overlap","Prove transparent export explicitly, avoid template clutter, and state no upload/no account truthfully","Live US listing and iTunes lookup accessed 2026-08-25."
"2026-08-25","Signature-App","TITANO DIGITAL TEKNOLOJI LIMITED SIRKETI","https://apps.apple.com/us/app/signature-app/id1470646598","Business","Sign Docs Now: Fill and Sign","4.55869","2590","Free","Yearly $19.99; Premium $4.99","Yes","Not established in public listing","PDF/document import is the principal flow","Not stated","Data Not Collected","2024-02-01","Top Productivity App; later text not reliably readable","Social proof/category claim first; document-signing visuals follow","Twenty-four-review feed sample: crash, PDF failure, and cancellation/not-needed complaints","Easy to use; a reviewer requested support for multiple PDFs","Medium: competes for broad signature searches, but it is document signing rather than asset export","Use transparent-asset problem first and avoid implying PDF signing","Live US listing and iTunes lookup; Apple customer-reviews RSS pages 1-3 accessed 2026-08-25."
